Key,MonthlyVariation,ThreeMonthVariation,SixMonthVariation,TwelveMonthVariation,YearVariation
2010-1,0.75,1.54,2.22,4.59,0.75
2010-2,0.78,1.91,2.86,4.83,1.54
2010-3,0.52,2.06,3.15,5.17,2.06
2010-4,0.57,1.88,3.45,5.26,2.65
2010-5,0.43,1.53,3.47,5.22,3.09
2010-6,0,1,3.09,4.84,3.09
2010-7,0.01,0.44,2.33,4.6,3.1
2010-8,0.04,0.05,1.58,4.49,3.14
2010-9,0.45,0.5,1.51,4.7,3.6
2010-10,0.75,1.24,1.69,5.2,4.38
2010-11,0.83,2.04,2.09,5.63,5.25
2010-12,0.63,2.23,2.74,5.91,5.91
2011-1,0.83,2.31,3.58,5.99,0.83
2011-2,0.8,2.28,4.37,6.01,1.64
2011-3,0.79,2.44,4.72,6.3,2.44
2011-4,0.77,2.38,4.74,6.51,3.23
2011-5,0.47,2.04,4.37,6.55,3.71
2011-6,0.15,1.4,3.87,6.71,3.87
2011-7,0.16,0.78,3.18,6.87,4.04
2011-8,0.37,0.68,2.74,7.23,4.42
2011-9,0.53,1.06,2.47,7.31,4.97
2011-10,0.43,1.34,2.13,6.97,5.43
2011-11,0.52,1.49,2.18,6.64,5.97
2011-12,0.5,1.46,2.54,6.5,6.5
2012-1,0.56,1.59,2.95,6.22,0.56
2012-2,0.45,1.52,3.03,5.85,1.01
2012-3,0.21,1.22,2.7,5.24,1.22
2012-4,0.64,1.31,2.91,5.1,1.87
2012-5,0.36,1.21,2.75,4.99,2.24
2012-6,0.08,1.08,2.32,4.92,2.32
2012-7,0.43,0.87,2.19,5.2,2.76
2012-8,0.41,0.92,2.15,5.24,3.18
2012-9,0.57,1.42,2.51,5.28,3.77
2012-10,0.59,1.58,2.46,5.45,4.38
2012-11,0.6,1.77,2.71,5.53,5.01
2012-12,0.79,1.99,3.44,5.84,5.84
2013-1,0.86,2.27,3.88,6.15,0.86
2013-2,0.6,2.27,4.08,6.31,1.47
2013-3,0.47,1.94,3.97,6.59,1.94
2013-4,0.55,1.63,3.93,6.49,2.5
2013-5,0.37,1.4,3.69,6.5,2.88
2013-6,0.26,1.18,3.15,6.7,3.15
2013-7,0.03,0.66,2.3,6.27,3.18
2013-8,0.24,0.53,1.93,6.09,3.43
2013-9,0.35,0.62,1.81,5.86,3.79
2013-10,0.57,1.16,1.83,5.84,4.38
2013-11,0.54,1.47,2.01,5.77,4.95
2013-12,0.92,2.04,2.68,5.91,5.91
2014-1,0.55,2.02,3.21,5.59,0.55
2014-2,0.69,2.18,3.67,5.68,1.24
2014-3,0.92,2.18,4.26,6.15,2.18
2014-4,0.67,2.3,4.37,6.28,2.86
2014-5,0.46,2.06,4.28,6.37,3.33
2014-6,0.4,1.54,3.75,6.52,3.75
2014-7,0.01,0.87,3.19,6.5,3.76
2014-8,0.25,0.66,2.74,6.51,4.02
2014-9,0.57,0.83,2.38,6.75,4.61
2014-10,0.42,1.24,2.13,6.59,5.05
2014-11,0.51,1.51,2.18,6.56,5.58
2014-12,0.78,1.72,2.57,6.41,6.41
2015-1,1.24,2.55,3.83,7.14,1.24
2015-2,1.22,3.27,4.83,7.7,2.48
2015-3,1.32,3.83,5.61,8.13,3.83
2015-4,0.71,3.28,5.92,8.17,4.56
2015-5,0.74,2.79,6.16,8.47,5.34
2015-6,0.79,2.26,6.17,8.89,6.17
2015-7,0.62,2.17,5.52,9.56,6.83
2015-8,0.22,1.64,4.48,9.53,7.06
2015-9,0.54,1.39,3.67,9.49,7.64
2015-10,0.82,1.59,3.79,9.93,8.52
2015-11,1.01,2.39,4.07,10.48,9.62
2015-12,0.96,2.82,4.24,10.67,10.67
2016-1,1.27,3.27,4.91,10.71,1.27
2016-2,0.9,3.16,5.63,10.36,2.18
2016-3,0.43,2.62,5.51,9.39,2.62
2016-4,0.61,1.95,5.29,9.28,3.25
2016-5,0.78,1.83,5.05,9.32,4.05
2016-6,0.35,1.75,4.42,8.84,4.42
2016-7,0.52,1.66,3.64,8.74,4.96
2016-8,0.44,1.32,3.17,8.97,5.42
2016-9,0.08,1.04,2.81,8.48,5.51
2016-10,0.26,0.78,2.45,7.87,5.78
2016-11,0.18,0.52,1.84,6.99,5.97
2016-12,0.3,0.74,1.79,6.29,6.29
2017-1,0.38,0.86,1.65,5.35,0.38
2017-2,0.33,1.01,1.54,4.76,0.71
2017-3,0.25,0.96,1.71,4.57,0.96
2017-4,0.14,0.72,1.59,4.08,1.1
2017-5,0.31,0.7,1.72,3.6,1.42
2017-6,-0.23,0.22,1.18,3,1.18
2017-7,0.24,0.32,1.04,2.71,1.43
2017-8,0.19,0.2,0.9,2.46,1.62
2017-9,0.16,0.59,0.81,2.54,1.78
2017-10,0.42,0.77,1.09,2.7,2.21
2017-11,0.28,0.86,1.06,2.8,2.5
2017-12,0.44,1.14,1.74,2.95,2.95
2018-1,0.29,1.01,1.79,2.86,0.29
2018-2,0.32,1.05,1.93,2.84,0.61
2018-3,0.09,0.7,1.85,2.68,0.7
2018-4,0.22,0.63,1.65,2.76,0.92
2018-5,0.4,0.71,1.77,2.86,1.33
2018-6,1.26,1.89,2.6,4.39,2.6
2018-7,0.33,2,2.64,4.48,2.94
2018-8,-0.09,1.5,2.23,4.19,2.85
2018-9,0.48,0.72,2.62,4.53,3.34
2018-10,0.45,0.84,2.86,4.56,3.81
2018-11,-0.21,0.72,2.23,4.05,3.59
2018-12,0.15,0.39,1.11,3.75,3.75
2019-1,0.32,0.26,1.1,3.78,0.32
2019-2,0.43,0.9,1.63,3.89,0.75
2019-3,0.75,1.51,1.9,4.58,1.51
2019-4,0.57,1.76,2.02,4.94,2.09
2019-5,0.13,1.46,2.37,4.66,2.22
2019-6,0.01,0.71,2.23,3.37,2.23
2019-7,0.19,0.33,2.1,3.22,2.42
2019-8,0.11,0.31,1.77,3.43,2.54
2019-9,-0.04,0.26,0.97,2.89,2.49
2019-10,0.1,0.17,0.5,2.54,2.6
2019-11,0.51,0.57,0.88,3.27,3.12
2019-12,1.15,1.77,2.03,4.31,4.31
2020-1,0.21,1.88,2.05,4.19,0.21
2020-2,0.25,1.62,2.2,4.01,0.46
2020-3,0.07,0.53,2.31,3.3,0.53
2020-4,-0.31,0.01,1.89,2.4,0.22
2020-5,-0.38,-0.62,0.99,1.88,-0.16
2020-6,0.26,-0.43,0.1,2.13,0.1
2020-7,0.36,0.24,0.25,2.31,0.46
2020-8,0.24,0.86,0.24,2.44,0.7
2020-9,0.64,1.24,0.81,3.14,1.34
2020-10,0.86,1.75,1.99,3.92,2.22
2020-11,0.89,2.41,3.29,4.31,3.13
2020-12,1.35,3.13,4.42,4.52,4.52
2021-1,0.25,2.51,4.3,4.56,0.25
2021-2,0.86,2.48,4.95,5.2,1.11
2021-3,0.93,2.05,5.25,6.1,2.05
2021-4,0.31,2.11,4.67,6.76,2.37
2021-5,0.83,2.08,4.61,8.06,3.22
2021-6,0.53,1.68,3.77,8.35,3.77
2021-7,0.96,2.34,4.5,8.99,4.76
2021-8,0.87,2.38,4.51,9.68,5.67
2021-9,1.16,3.02,4.75,10.25,6.9
2021-10,1.25,3.32,5.73,10.67,8.24
2021-11,0.95,3.4,5.86,10.74,9.26
2021-12,0.73,2.96,6.07,10.06,10.06
2022-1,0.54,2.24,5.63,10.38,0.54
2022-2,1.01,2.3,5.77,10.54,1.56
2022-3,1.62,3.2,6.25,11.3,3.2
2022-4,1.06,3.73,6.05,12.13,4.29
2022-5,0.47,3.18,5.55,11.73,4.78
2022-6,0.67,2.22,5.49,11.89,5.49
2022-7,-0.68,0.46,4.21,10.07,4.77
2022-8,-0.36,-0.37,2.79,8.73,4.39
2022-9,-0.29,-1.32,0.86,7.17,4.09
2022-10,0.59,-0.06,0.39,6.47,4.7
2022-11,0.41,0.71,0.33,5.9,5.13
2022-12,0.62,1.63,0.28,5.79,5.79
2023-1,0.53,1.57,1.5,5.77,0.53
2023-2,0.84,2,2.73,5.6,1.37
2023-3,0.71,2.09,3.76,4.65,2.09
2023-4,0.61,2.18,3.78,4.18,2.72
2023-5,0.23,1.56,3.59,3.94,2.95
2023-6,-0.08,0.76,2.87,3.16,2.87
2023-7,0.12,0.27,2.45,3.99,2.99
2023-8,0.23,0.27,1.83,4.61,3.23
2023-9,0.26,0.61,1.38,5.19,3.5
2023-10,0.24,0.73,1,4.82,3.75
2023-11,0.28,0.78,1.05,4.68,4.04
2023-12,0.56,1.08,1.7,4.62,4.62
2024-1,0.42,1.27,2.01,4.51,0.42
2024-2,0.83,1.82,2.62,4.5,1.25
2024-3,0.16,1.42,2.51,3.93,1.42
2024-4,0.38,1.37,2.66,3.69,1.8
2024-5,0.46,1,2.84,3.93,2.27
2024-6,0.21,1.05,2.48,4.23,2.48
2024-7,0.38,1.05,2.44,4.5,2.87
2024-8,-0.02,0.57,1.58,4.24,2.85
2024-9,0.44,0.8,1.86,4.42,3.31
2024-10,0.56,0.98,2.05,4.76,3.88
2024-11,0.39,1.4,1.98,4.87,4.29
2024-12,0.52,1.48,2.29,4.83,4.83
